0.000000000;0.000000000;0.000000000;-2.878975267;0.000047100;1.000000000;0.000000000
0.397567111;-0.383936999;-0.103208473;-2.878991361;0.000058500;1.000000000;0.000000000
0.795134165;-0.767875350;-0.206411695;-2.879002728;0.000070200;1.000000000;0.000000000
1.192700576;-1.151814019;-0.309611257;-2.879009246;0.000081600;1.000000000;0.000000000
1.590266073;-1.535752211;-0.412809070;-2.879010993;0.000092500;1.000000000;0.000000000
1.987830298;-1.919689130;-0.516006723;-2.879008087;0.000102900;1.000000000;0.000000000
2.385392709;-2.303623742;-0.619205967;-2.879000259;0.000113000;1.000000000;0.000000000
2.782953088;-2.687555331;-0.722408632;-2.878987757;0.000122600;1.000000000;0.000000000
3.180511003;-3.071483021;-0.825616309;-2.878970940;0.000131600;1.000000000;0.000000000
3.578066079;-3.455406018;-0.928830510;-2.878952080;0.000140000;1.000000000;0.000000000
3.975618470;-3.839324480;-1.032051235;-2.878933640;0.000147800;1.000000000;0.000000000
4.373168344;-4.223238646;-1.135278244;-2.878915786;0.000154900;1.000000000;0.000000000
4.770715737;-4.607148595;-1.238511380;-2.878898422;0.000161500;1.000000000;0.000000000
5.168260837;-4.991054566;-1.341750482;-2.878881698;0.000167400;1.000000000;0.000000000
5.565803815;-5.374956799;-1.444995312;-2.878865806;0.000172500;1.000000000;0.000000000
5.963344817;-5.758855531;-1.548245552;-2.878850429;0.000176900;1.000000000;0.000000000
6.360883998;-6.142750921;-1.651501202;-2.878835639;0.000179000;1.000000000;0.000000000
6.758421407;-6.526643129;-1.754761864;-2.878821560;0.000182300;1.000000000;0.000000000
7.155957255;-6.910532394;-1.858027458;-2.878808022;0.000185000;1.000000000;0.000000000
7.553491711;-7.294418954;-1.961297747;-2.878795097;0.000186900;1.000000000;0.000000000
7.951024885;-7.678302967;-2.064572570;-2.878782787;0.000188200;1.000000000;0.000000000
8.348556948;-8.062184674;-2.167851689;-2.878771282;0.000188700;1.000000000;0.000000000
8.746087971;-8.446064233;-2.271134786;-2.878760267;0.000188500;1.000000000;0.000000000
9.143618106;-8.829941803;-2.374421861;-2.878749821;0.000187500;1.000000000;0.000000000
9.541147655;-9.213817781;-2.477712595;-2.878740181;0.000185900;1.000000000;0.000000000
9.938676558;-9.597692169;-2.581006751;-2.878731006;0.000183700;1.000000000;0.000000000
10.336205022;-9.981565204;-2.684304247;-2.878722496;0.000180900;1.000000000;0.000000000
10.733733273;-10.365437205;-2.787604767;-2.878714695;0.000177300;1.000000000;0.000000000
11.131261346;-10.749308251;-2.890908151;-2.878707385;0.000173100;1.000000000;0.000000000
11.528789431;-11.133178581;-2.994214240;-2.878700812;0.000168300;1.000000000;0.000000000
11.926317676;-11.517048434;-3.097522715;-2.878694850;0.000163000;1.000000000;0.000000000
